k1,k2,magnetic_band,energy_meV
0.075,0.0,27,-37.397317533802834
0.075,0.0,28,-36.68371723341656
0.075,0.0,29,-36.30556275566798
0.075,0.0,30,-35.96120576775192
0.075,0.0,31,-34.19336311438224
0.075,0.0,32,-34.10833653947025
0.075,0.0,33,-31.61632850640204
0.075,0.0,34,-30.872435719213186
0.075,0.0,35,-28.870795786306843
0.075,0.0,36,-26.233261312805197
0.075,0.0,37,-25.560641260501427
0.075,0.0,38,-21.19557517123441
0.075,0.0,39,-21.063471601209855
0.075,0.0,40,-14.967355403073512
0.075,0.0,41,-7.79971369253056
0.075,0.0,42,-7.532341862583991
0.075,0.0,43,-5.926300631547463
0.075,0.0,44,-4.690591097491634
0.075,0.0,45,-4.4383213120351
0.075,0.0,46,-3.4881271714135664
0.075,0.0,47,-2.9822316706116823
0.075,0.0,48,-2.1157105246420684
0.075,0.0,49,-1.3102300210435516
0.075,0.0,50,-0.2745981419157886
0.075,0.0,51,0.7898157741588676
0.075,0.0,52,2.054439190207816
0.075,0.0,53,3.335545798256547
0.075,0.0,54,4.753006180723389
0.075,0.0,55,6.275358331701199
0.075,0.0,56,7.912863980967131
0.075,0.0,57,9.621471851246042
0.075,0.0,58,11.403401164588203
0.075,0.0,59,13.273734694670395
0.075,0.0,60,15.168699445013829
0.075,0.0,61,16.944009404055507
0.075,0.0,62,16.977142703912143
0.075,0.0,63,17.045288846390104
0.075,0.0,64,18.447142091045535
0.075,0.0,65,18.72934670923973
0.075,0.0,66,18.788314264779324
0.075,0.0,67,19.461788747053916
0.075,0.0,68,19.709657083591452
0.075,0.0,69,20.061453988016993
0.075,0.0,70,20.47530136713665
0.075,0.0,71,20.81641585520623
0.075,0.0,72,21.05311885254754
0.075,0.0,73,21.323027983648984
0.075,0.0,74,21.75583783867821
0.075,0.0,75,21.778781800046026
0.075,0.0,76,22.288261176859336
0.075,0.0,77,22.895076430599925
0.075,0.0,78,22.92442086512182
0.075,0.0,79,25.331835851545037
